fpar,par,tmin,vpd,smrz,ft,tsoil,smsf
0.662,11.256,292.678,1255.868,0.725,0.000,298.358,0.438
0.661,11.301,292.016,1218.437,0.726,0.000,297.744,0.436
0.657,10.289,292.139,1161.633,0.721,0.000,297.383,0.428
0.657,11.239,291.018,1297.537,0.716,0.000,296.926,0.426
0.657,11.880,291.654,1398.328,0.707,0.000,297.284,0.405
0.657,12.087,292.151,1580.472,0.695,0.000,298.142,0.383
0.657,11.089,293.239,1562.791,0.689,0.000,298.785,0.393
0.657,10.713,292.753,1378.967,0.689,0.000,298.517,0.404
0.657,10.964,292.754,1494.650,0.683,0.000,298.701,0.393
0.660,9.777,292.513,1228.842,0.683,0.000,298.223,0.411
0.667,10.371,291.945,1192.766,0.687,0.000,297.465,0.423
0.667,9.985,291.623,1190.295,0.684,0.000,297.431,0.417
0.667,10.880,291.861,1300.455,0.690,0.000,297.616,0.431
0.667,9.882,292.287,1245.683,0.696,0.000,297.804,0.425
0.667,10.607,292.650,1215.723,0.694,0.000,297.964,0.421
0.667,9.767,292.032,1151.156,0.689,0.000,297.428,0.420
0.667,10.976,290.887,1145.443,0.687,0.000,296.870,0.424
0.646,10.653,291.115,1153.544,0.688,0.000,296.989,0.430
0.652,10.456,290.086,1132.368,0.690,0.000,296.353,0.431
0.652,10.777,289.424,1230.180,0.683,0.000,296.204,0.410
0.652,9.141,290.005,1074.819,0.688,0.000,296.142,0.422
0.652,9.874,290.406,1023.754,0.692,0.000,295.987,0.427
0.652,9.986,290.185,1050.573,0.694,0.000,296.173,0.447
0.652,9.112,290.067,996.968,0.693,0.000,295.882,0.434
0.652,9.874,289.726,977.090,0.703,0.000,295.629,0.441
0.662,10.313,289.729,1014.568,0.704,0.000,295.711,0.443
0.656,10.091,290.781,1097.714,0.698,0.000,296.485,0.433
0.656,9.580,291.749,1080.245,0.696,0.000,297.097,0.442
0.656,9.381,291.420,1054.995,0.698,0.000,296.811,0.449
0.656,9.095,291.199,1044.824,0.699,0.000,296.531,0.446
0.656,9.371,290.645,1020.912,0.713,0.000,296.174,0.435
0.656,9.290,290.634,1060.379,0.719,0.000,296.036,0.441
0.656,9.906,290.497,1144.106,0.716,0.000,296.392,0.434
